	level1	level2	level3	topic	level	keywords
0	család			család	1	apa; anya; szülő; család; családi; feleség; férj; öcs; apuka; anyuka; anyu; mama; papa; fater; édesapa; édesanya; gyerek; nagymama; nagypapa; nagyapa; nagyanya; nagyszülő; unokatestvér; unokaöcs; testvér; húg; báty; nővér; nagynéni; nagybácsi; nagybáty; rokon; testvér; anyós; apu; após; sógor; öcs; nagybácsi; unoka; rokonság; családi; családtag; fia; házasság; másodunokatestvér; szülő; asszony; dédnagymama; dédi; dédapa; dédmama; fiútestvér; mami; nagycsalád; nagylány; nagymuter; nevelőapa; sógornő; tesó; vej; bátya; család-összetartás; családkeresés; családtörténet; családtörténeti; dédnagyapa; dédnagyszülő; dédszülő; felmenő; hozzátartozó; hug; házas; házaspár; házassági; házastárs; keresztgyerek; kistestvér; lánygyermek; lánytestvér; lányunoka; mostohaanya; mostohaapa; mostohatestvér; rokoni; szépapa; testvér; unokabáty; unokázik
1	család	származás		származás	2	származás; származásdolog; származási; származó; család; felmenő; kádergyerek; kulák; proli; élettörténet; családtörténet; családfa
2	család	családon belüli munkamegosztás		családon belüli munkamegosztás	2	főzés; mosogatás; mosás; takarítás
3	egészségügy			egészségügy	1	egészségügy; belgyógyászat; pacientúra; ultrahang; betegség; egészségnevelési; egészségügy; fertőzés; gipszelő; gyerekgyógyász; gyógyszer; hordágy; inzuli; kontroll; kórterem; kötés; lábtörés; lázcsillapító; lúdtalpbetét; magánorvos; megoperál; megröntgenez; nyirokkeringés; nővér; orvosi; rendelés; rendelő; röntgenes; röntgenfelvétel; szemészet; szívgyógyszer; szívgyöngeség; szívkórház; szülőszoba; sárgaság; táppénz; tüdővérzés; urológus; vizi; vizsgálat; vérnyomás; ápoló; átte; ügyvéd
4	egészségügy	egészségügyi dolgozó		egészségügyi dolgozó	2	orvos; doktornő; belgyógyász; bőrgyógyász; mentőorvos; háziorvos; védőnő; katonaorvos; nőgyógyász; orvosnő; pszihológus; pszichológus; doki; doktornő; főorvos; gyerekorvos; magánorvos; pszichoterapeuta; pszihiáter; ápoló; ápolónő; pszichiáter
5	egészségügy	páciens		páciens	2	páciens; beteg; ápolt; kontroll; rendelés
6	egészségügy	egészségügyi intézmény		egészségügyi intézmény	2	kórház; klinika; rendelő; terhesgondozó; szemészet; rendelőintézet
7	egészségügy	egészségügyi ellátás		egészségügyi ellátás	2	terápia; gipsz; pacientúra; fölerősít; gyógyszer; magánpraxis; megoperál; művészetterapeuta; röntgenfelvétel; vizit
8	egészségügy	járvány		járvány	2	járvány; vírus; covid; pandémia
9	egyház			egyház	1	egyház; börtönmisszió; cigánypasztoráció; egyházi
10	egyház	egyházi személy		egyházi személy	2	apáca; pap; szerzetes; lelkipásztor; karitász; kongregáció
11	egyház	egyházi intézmény		egyházi intézmény	2	egyházi; egyházmegye; nunciatúra; szeretetszolgálat; papnevelde
12	életesemény			életesemény	1	költözik; születik; tragédia; beköltözik; elköltözik; felköltözik; kiköltözik; hazajön; körülmetél; leköltözik; leszerel; leszerelés; költözés; nyugdíj; sors; trauma; élmény; élményközösség; özvegy; váltás
13	életesemény	gyermekvállalás		gyermekvállalás	2	szül; születik; szülés; terhes; várandós; kismama; megszületik; terhesség; gyes; anyaszerep; babáz; fogamzásgátló; gyerekez; gyerekvállalás; gyes-betegség; koraszülés
14	életesemény	házasságkötés		házasságkötés	2	házasság; összeházasszik; megnősül; feleség; esküvő; összeházasodik; nősül; házasok; házassági; házasságkötés; kiházasodik; lánynev; menyasszony; összeházasodhat
15	életesemény	válás		válás	2	válás; elvált; válóper; elvál; elválik; problémáink; szakít; vagyonmegosztás
16	életesemény	baleset		baleset	2	baleset; elcsúszik; gondatlanság; gyerekkórház; kisodródik; leforrázódik; légzsák; megcsúszik; rutintalanság; sebhely; sodródik; csonttörés
17	életesemény	öngyilkosság		öngyilkosság	2	öngyilkos
18	életesemény	halálozás		halálozás	2	meghal; halál; hulla; temetés; gyászidőzik; agyonlő; díszsírhely; eltemetve; elterül; elvérez; gyász; haldokló; halott; haláltusa; infarktus; művészparcella; szívinfarktus; temet; öngyilkos; megözvegyül; özvegy
19	életesemény	trauma		trauma	2	traum; megrázó; borzalom; burnou; megkínoz; sokk; sokkhatás; szorongás; trauma-reprezentáció; traumatizáció; traumatizálódik; traumatörténet; zokogva
20	életkörülmények			életkörülmények	1	albérlet; ház; intézet; kocsi; lakhatás; panel; emelet; lakás; luxus; megélhetés; pincelakás; szoba-konyha; gyerekotthonba; iskolabusz; alapdolog; anyagi; apartman; autó; berendezve; börtön; családotthon; drága; dörgermüz; egyedül; egykeresős; elköltözik; fizetés; fűtés; gyerekotthon; gyerekotthoni; hamburger; hitel; hitelezve; internet; járulékalapod; jóllakhat; kaja; kenyérosztás; keresőképesség; kiadás; kétkeresős; különlét; lakáskeresés; lakótelep; lakótárs; lebetegszik; létszükséglet; menhely; nyaral; nyaralás; nyugdíjad; pizza; pénzösszeg; rezsi; sikeres; szerencse; szerencsés; takarékoskodik; telefon; éhezés; éldegél; étel; önerő; összeköltöztem; újgazdag
21	életkörülmények	anyagi helyzet		anyagi helyzet	2	pénz; hitel; kölcsön; tartalék; anyagi; támogatás; fizetés; nyugdíj; keres; kereset; lakhatás; megélhetés; rokkantnyugdíj; nyugdíjemelés; szegénység; gazdag; segély; szegény; forint; járadék; nyugdíj; nyugdíjrendszer; órabér; adósság; alapnyugdíj; anyagilag; bér; dúsgazdag; egzisztencia; egzisztenciád; egzisztenciális; hitel; hitelem; járadékon; kölcsöne; leszázalékol; munkanélküli; nyugdíjas; nyugdíjguru; spórol; törlesztés; vagyon; nyugdíjbiztosítást; nyugdíjjal; adójóváírás; anyagi; anyagiak; bank; bankszámla; csóró; depriváció; diákhitel; egészségbiztosítási; eladósodik; előtakarékosság; finanszíroz; fizet; fizetési; félrerak; gazdaságu; gyerektartás; hitelezve; ház; indexálás; jövedelem; keresett; kereső; korengedményes; kéreget; kölcsön; középmódú; középosztálybeli; levon; luxus; megélhetés; mélyszegénység; módos; nyugdíjam; nyugdíjasok; nyugdíjazik; nyugdíjbiztosítás; nyugdíjbiztosítási; nyugdíjpénztár; nyugdíjpénztári; nyugdíjszakértő; nyugdíjtakarékossági; nyugdíjtervező; olcsó; prémium; pénzhiány; pénztárca; pótlék; rokkantnyugdíjas; rokkantnyugdíjasság; rászorulók; spórolj; spórolás; szocpol; szocpolos; takarékos; takarékoskodik; táppénz; társadalombiztosítási; törleszt; villanyszámla; végkielégítés; étkezés; önerő
22	életkörülmények	anyagi helyzet	szegénység	szegénység	3	szegény; szegénység; pénzhiány; éhezés; nélkülözés; elszegényedés; megélhetés; munkalehetőség; nyomor; szegény-támogatási; szegényfogalom; szegénységkutatás; szegénységtörténet; szegénytelep; éhes; éhez
23	életkörülmények	egészségi állapot		egészségi állapot	2	beteg; leszázalékol; beteges; betegség; csontváz; megerősödik; remegés; idegösszeomlás; szívem; alkalmatossági; begyullad; depressziós; egészség; fogyatékos; fájdalom; fölerősít; föleszmél; gyógyszer; gyógyszerik; haldokló; háziorvos; ideggondozó; kiír; lebénul; lerongyolódik; mandulagyulladás; megbetegít; meggyógyul; műtétett; nyomorék; orvos; orvosság; szenved; tet; tetves; tüdő; vak; önkívület; önkívületlen; összeesik; összerogy; összeroppan; amputálva
24	életkörülmények	egészségi állapot	betegség	betegség	3	beteg; cukorbetegség; vakbélgyulladás; dialízis; ekcéma; érszűkület; izületes; tbc; viszér; agyhártyagyulladás; aortarobbanás; betegség; borogatás; depresszió; depressziós; elmebetegség; fájdalom; hasnyálmirigyrák; idegösszeroppanás; lábtörés; mandulagyulladás; mikrokefál-idióta; parkinzon-betegség; rokkantnyugdíjasság; szívbetegség; szívgyöngeség; tolókocsi
25	életkörülmények	egészségi állapot	szenvedélybetegség	szenvedélybetegség	3	drog; kábítószer; szerencsejáték; szipuzás; dohány; dohányzik; dohányzás; játékgép; részeg; szipuzós; szívogatta; ragasztó; alkohol; alkoholista; beleőrül; casino; cigaretta; cigi; drogos; eliszik; heroin; iszik; iszákos; kocsma; kábítószeres; marihuánás; narkózik; piált; rulett; szenvedélybeteg
26	életkörülmények	egészségi állapot	lelki egészség	lelki egészség	3	mentálhigiéné; önismeret; stressz; tisztánlátás; szorongás; együttérzés; törődés; koncentráció
27	életkörülmények	lakhatás		lakhatás	2	lakás; albérlet; ház; lakik; szoba; szobás; lakótelep; költözik; költözés; lakbér; együttlakás; elköltözik; falubeli; hazaköltözz; ikerház; kollégista; lakhatás; lakásunk; odaköltözik; szobás; társasház; apartmik; falu; föltürül; fürdő; gyerekotthoni; gyerekszoba; gáz; hatlakásos; kisváros; kiszellőzt; kollégium; lakásfenntartási; lakásodat; lakásom; letürül; mikrohullámú; nagyváros; rezsit; szoba-konyha; szocpol; szocpolos; társbérlet; vályogos; építkezés
28	életkörülmények	lakhatás	hajléktalanság	hajléktalanság	3	hajléktalanok
29	életkörülmények	táplálkozás		táplálkozás	2	eszik; sör; vacsorázik; gundel; vacsora; éhezés; bor; enni; hús; iszik; kaja; kenyér; kávé; pincér; reggeli; séf; vendéglő; vitaminhiány; bélszín; libamáj; répaleves; cipó; csoki; csokimániás; ebéd; ebédlő; ennivaló; fogyás; fridzsider; húskonzerv; inni; kajál; kanáll; kenyérosztás; korsó; krumpli; kávéház; lecsó; lecsós; libahús; megebédel; megesz; megiszik; menü; narancsital; paprika; paradicsom; pezsgő; pálinka; pörkölt; reggelizik; szalonna; söröz; süt; tea; tálat; tízórai; tükörtojás; uzsonna; vill; vörösbor; édesség; éhenkórász; éhes; élelem; étel; étkezde; étterem; étvágy; ízöl
30	életkörülmények	sport		sport	2	meccs; fotballcsapat; sportút; futballmeccs; birkózás; edzés; előmérkőzés; focimeccs; focista; forballmeccs; fotball; futballista; gyerekcsapat; judo; jégkorong; jégtánc; jégtáncos; kézilabdás; olimpiai; sport; sportúra
31	életkörülmények	mindennapi élet		mindennapi élet	2	luxuscikk; szórakozás; bulizik; bulizós; csavarog; deviáns; magánélet; munkahely; mókuskerék; nyaral; passziózhat; szórakozik; szökés; takarékos; takarékoskodn; éldegél; életmód
32	életkörülmények	szabadidő		szabadidő	2	hobbi; szabadidő; szórakozás
33	életkörülmények	jövőkép		jövőkép	2	jövőkép; jövő; terv
34	életszakasz			életszakasz	1	korosztály; generáció
35	életszakasz	gyermek és gyermekkor		gyermek és gyermekkor	2	gyerekkor; gyerekeskedik; kisgyerek; egyke; felnő; gyerekkori; gyermekkor; tinédzser; kiskora; serdülőkor; kislány; lány; nevelkedett; nevelés; ovi
36	életszakasz	fiatal és fiatalkor		fiatal és fiatalkor	2	fiatalság; fiatalkor; fiatalember; diákkor; diákszerelem
37	életszakasz	idős és időskor		idős és időskor	2	60; idős; idősebb; megvénül; öreg; öregasszony
38	értékrendszer			értékrendszer	1	sztereotípiák; authoritarian; tekintélyelvűség; ateista; ateizmus; becsület; ellenzéki; előítélet; erkölcsi; gondolkodásmód; identitás; keresztény; konzervatív; liberalizmus; liberális; nacionalista; nacionalizmus; nemzetszeretet; tisztesség; toleráns; vallásos; értékorientáció; értékskála; értékrend; értékvilág; értékvizsgálat; neonáci
39	értékrendszer	attitűd		attitűd	2	hülyéskedik; kompromisszum; szigorú; toleráns; agresszív; becsületes; bízik; erkölcsi; erőszakos; fél; higgadt; hozzáállás; hülyéskedés; irigység; kedvelelm; kedves; kedveskedik; kegyetlenség; közvetlen; különc; küzd; magatartás; manír; megalázás; modorosság; morális; motiváló; nyitottság; nyugodt; provokáció; renitens; ráerőltet; siránkozik; siránkozó; szemlélet; szeret; tekintélyelvűség; tolerál; udvarias; vagány; viccelődés; érték; önmegtartózkodó; önállóság; összetart
40	értékrendszer	viselkedés		viselkedés	2	viselkedés; magaviselet; szokás
41	értékrendszer	identitás		identitás	2	identitás; ateista; nemzettudat; vallásos; egyéniség; európa; identitástudat; individuális; kötődés; származás; világkép; világlátás; zsidóidentitás; élményközösség; énkép; öntudat; összetartozás
42	értékrendszer	szexualitás		szexualitás	2	kielégít; szexuális; szex
43	értékrendszer	ideológia		ideológia	2	liberális; kommunista; náci; baloldali; ideológia; jobboldali; szocialista; ellenzéki; fasiszta; liberalizmus; marxista; nacionalizmus; nemzetrombolás; nemzettudat; neomarxista; jobbik; szálasi; anarchista; cigánybűnözés; cigánykérdés; cigányprobléma; eszmeiség; eszmerendszer; etatis; euroszkeptikus; fasiszik; gárda-jelenség; hazafiasság; hungarizmus; ideológiai; kapitalizmus; kommunizmus; lefasisztázna; legjobboldali; lenáciz; liberáliso; mozgalm; nacionalista; nemzet; nemzeti; nemzettestvér; neonáci; neonácikra; nyilas; nácizmus; népies; patrióta; poszt-marxista; reformer; szociálliberális; vadkapitalizmus; vadliberalizmus; vaskeresztes; választásokkor; álnacionalizmus; értékren; ösztönelmélet; újnyilas
44	értékrendszer	vallás		vallás	2	vallásos; zsidó; katolikus; keresztény; rabbi; vallás; templom; ateista; zsinagóga; hit; református; chanukát; pészach; széder; hitközség; hittan; ima; imakönyv; jiddis; kádis; ortodox; zsidóság; őskeresztény; isten; bencés; böjt; cigánypasztoráció; ferences; feszület; hisz; holocaust; hívő; húsvét; imádkozik; imádság; istenhit; kadis; kereszt; kántor; körülmetélt; küp; megváltó; neolóog; tóra
45	értékrendszer	érzelem		érzelem	2	szerelem; fél; kellemes; lelkiismeret-furdalás; szerel; érzelem; érzés; boldog; félelmetes; gyűlöl; honvágy; hálás; ideges; ijedte; irigység; istenít; kiégés; lelki; lelkiismeretfurdalás; nosztalgiahullám; ordít; rémséges; rémülve; rökönyödve; siránkozik; siránkozó; szenved; szenvedés; szerelm; szerelmes; szégyell; szégyenkezik; érzelmi
46	értékrendszer	előítélet		előítélet	2	elfogad; elfogadhassa; elítél; előitélet
47	értékrendszer	előítélet	antiszemitizmus	antiszemitizmus	3	antiszemitizmus; zsidózás; zsiget; antiszemita; hungarizmus; nyilas; zsidókérdés
48	értékrendszer	előítélet	cigányellenesség	cigányellenesség	3	cigányellenesség; romagyűlölet
49	értékrendszer	előítélet	homofóbia	homofóbia	3	homofóbia; idegenellenes; idegengyűlölet
50	értékrendszer	előítélet	rasszizmus	rasszizmus	3	cigánybűnözés; cigánykérdés; véderős; antiszemitizmus; cigányprobléma; hungarista; náci; rasszista
51	értékrendszer	radikalizmus		radikalizmus	2	véderős; náci; hungaristák; fasiszta; gárda-jelenség; hungarizmus; neonáci; nyilas; szélsőséges; vaskeresztes; zászlóégetés; újnyilas
52	gazdaság			gazdaság	1	termék; ügyfél; célpiac; ügyfélkör; piacvezető; versenytárs; gazdasági; termékfejlesztés; versenypiac; értékesítési; értékesítő; gazdaság; infláció; kamatoztat; konkurencia; konkurens; nyugdíjrendszer; piacelemzés; pénzügyi; tőzsdéz; versenyelőny; értékesítés; öngondoskodás; ügyféligény; hitelbank; pénzügykutato; tesco; acélgyár; alkusz; bankpiac; befektetés; befektetési; befektető; díjfizetés; eltőzsdéz; finanszírozás; fogyasztóbarát; franchis; gépgyár; hozam; jutalék; jutalékkulcs; járulékfizető; keresetemelkedéshez; keresetnövekedés; kereskedelem; kiadás; kínálat; költségviselő; közgazdaságtan; leányvállalat; magánpénztár; mezőgazdaság; minimálbér; multik; nagyvállalat; nemzetgazdasági; nyugdíj; nyugdíjszakértő; profitráta; profitábilis; prémiumocska; pénzmennyiség; pénzromlás; pénzügy; részvény; szabadpiaci; termékfejlesztési; termékfejlesztő; termékstruktúra; termékvizsga; támogatás; tőkeháttér; tőkepiac; tőzsde; versenyfeszültség; versenyszituáció; világgazdaság; világgazdasági; vállalkozik; vállalkozás; vásárló; vásárlóér; vásárlóértéke; vásárol; átlagkereset; öngondoskszik; ügyfel; ügyfeleinkn; ügyfélbarát; ügynökhálózat; üzletkötő
53	gazdaság	gazdasági szervezet		gazdasági szervezet	2	vállalat; szövetkezet; vállalkozás; telepvezető; vállalkozó; brókernet; quantis; cégstruktúra; erőmű; fatelép; kocsma; konzervgyár; tsz-elnök; ügyfél; amway; consequit; földbirtoku; tsz; világbank; alvállalat; borozó; bt; cég; cégvezető; cégér; franchis; gazdasági; gazdaságu; gyertyagyár; gyár; hőerőmű; kft; kikötő; kkv; kényszervállalkozó; költség; lakatgyár; marketing; megalapít; nagyüzem; nyugdíjguru; nyugdíjszakértő; nyugdíjtervező; piac; piacvezető; pincész; termékfejlesztési; termékfeltétel; testvérvállalat; textilgyár; tsz-esek; tüzelőtelep; vasüzem; vendéglő; vállalati; vállalkozói; értékesítés; üzletkötő
54	gazdaság	gazdasági tevékenység		gazdasági tevékenység	2	gazdaság; tevékenység; asszisztens; gazdaasszony; magángazdaság; megrendelő; megállapodik; szolgáltatásaik; termelés; tárgyal
55	gazdaság	gazdasági tevékenység	ipar	ipar	3	gyár; ipar; üzem; bútorgyár; csúcspados; erőmű; eszterga; gyertyagyár; gyújtáskapcsoló; görgő; malom; vasüzem
56	gazdaság	gazdasági tevékenység	kereskedelem	kereskedelem	3	marketing; végfelhasználó; értékesítő; disznóvásár; hentesüzl; iparengedély; kassza; kiskereskedés; kiszolgálás; piac; pénztáros; tőkepiac; versenypiac; viszonteladó; vásár; értékesítés; ügyfél; ügyfélkör; ügyfélszerzés; üzl; üzlethelység
57	gazdaság	gazdasági tevékenység	mezőgazdaság	mezőgazdaság	3	őstermelő; kapál; föld; anyadisznó; csirke; disznó; földprogram; krumpli; krumpliszezon; kukorica; libatelep; malom; napszám; nyúl; paraszt; siló; tehenész; tehén; termés; állattenyésztés
58	gazdaság	gazdasági tevékenység	szolgáltatás	szolgáltatás	3	szolgáltatás; szépségipar; szórakoztatás; tanácsadás
59	gazdaság	munkaerőpiac		munkaerőpiac	2	munkaerő; munkanélküliség; munkaadó; munkavállaló; munkahelyteremtés; foglalkoztatás
60	gazdaság	fogyasztás		fogyasztás	2	jólét; kereslet; javak; gazdaság; piac; fogyasztó; kínálat
